[DEBUG 23:40:26 sjtuautorun] ('Emulator status', 'running')
[INFO 23:40:28 sjtuautorun] Android Connected!
[INFO 23:40:30 sjtuautorun] resolution:(1080, 1920)
[DEBUG 23:40:44 sjtuautorun] ('click:', 1759333244.8577044, 579, 55)
[DEBUG 23:40:46 sjtuautorun] ('Typing:去跑步',)
[DEBUG 23:40:48 sjtuautorun] ('click:', 1759333248.279397, 101, 186)
[INFO 23:40:49 sjtuautorun] Started successfully!
[DEBUG 23:40:52 sjtuautorun] ('click:', 1759333252.4103389, 474, 398)
[DEBUG 23:40:54 sjtuautorun] ('click:', 1759333254.000736, 474, 398)
[DEBUG 23:40:57 sjtuautorun] ('click:', 1759333257.9213288, 481, 452)
[DEBUG 23:41:05 sjtuautorun] (121.43161690454957, 31.02687431418727)
[DEBUG 23:41:06 sjtuautorun] (121.43166038317166, 31.026881175469004)
[DEBUG 23:41:06 sjtuautorun] (121.43167518925257, 31.026890890152547)
[DEBUG 23:41:08 sjtuautorun] (121.4317537791612, 31.02692794062182)
[DEBUG 23:41:09 sjtuautorun] (121.43178988176201, 31.026935875053116)
[DEBUG 23:41:10 sjtuautorun] (121.43183619985325, 31.026956019991353)
[DEBUG 23:41:11 sjtuautorun] (121.43192919040226, 31.02698059185608)
[DEBUG 23:41:13 sjtuautorun] (121.43199369868354, 31.02698699152669)
[DEBUG 23:41:14 sjtuautorun] (121.43205426894697, 31.027023871305587)
[DEBUG 23:41:15 sjtuautorun] (121.43210897378233, 31.027035965862733)
[DEBUG 23:41:15 sjtuautorun] (121.43211370332, 31.02703648747242)
[DEBUG 23:41:17 sjtuautorun] (121.43218027767945, 31.027050625060987)
[DEBUG 23:41:17 sjtuautorun] (121.43220578176158, 31.027071313894393)
[DEBUG 23:41:19 sjtuautorun] (121.43227931737684, 31.027082934795324)
[DEBUG 23:41:21 sjtuautorun] (121.43236111863627, 31.027111804133153)
[DEBUG 23:41:21 sjtuautorun] (121.43237451112415, 31.027114879847097)
[DEBUG 23:41:22 sjtuautorun] (121.4324068824174, 31.02712773586819)
[DEBUG 23:41:22 sjtuautorun] (121.43244231233042, 31.02714144081421)
[DEBUG 23:41:24 sjtuautorun] (121.43251651778472, 31.027157446428568)
