[DEBUG 00:43:07 sjtuautorun] ('Emulator status', '')
[DEBUG 00:43:09 sjtuautorun] ('Emulator status', '')
[DEBUG 00:43:10 sjtuautorun] ('Emulator status', '')
[DEBUG 00:43:11 sjtuautorun] ('Emulator status', '')
[DEBUG 00:43:12 sjtuautorun] ('Emulator status', '')
[DEBUG 00:43:13 sjtuautorun] ('Emulator status', '')
[DEBUG 00:43:14 sjtuautorun] ('Emulator status', '')
[DEBUG 00:43:15 sjtuautorun] ('Emulator status', '')
[DEBUG 00:43:16 sjtuautorun] ('Emulator status', '')
[DEBUG 00:43:18 sjtuautorun] ('Emulator status', '')
[ERROR 00:43:19 sjtuautorun] ===================ERROR===================
[ERROR 00:43:19 sjtuautorun] 模拟器启动超时！ 请检查模拟器路径!
[ERROR 00:43:19 sjtuautorun] ====================END====================
