[DEBUG 23:28:59 sjtuautorun] ('Emulator status', 'running')
[INFO 23:29:01 sjtuautorun] Android Connected!
[INFO 23:29:04 sjtuautorun] resolution:(1080, 1920)
[DEBUG 23:29:19 sjtuautorun] ('click:', 1759332559.2613742, 579, 55)
[DEBUG 23:29:20 sjtuautorun] ('Typing:去跑步',)
[DEBUG 23:29:22 sjtuautorun] ('click:', 1759332562.4906106, 101, 186)
[INFO 23:29:23 sjtuautorun] Started successfully!
[DEBUG 23:29:26 sjtuautorun] ('click:', 1759332566.8144495, 474, 398)
[DEBUG 23:29:28 sjtuautorun] ('click:', 1759332568.369315, 474, 396)
[DEBUG 23:29:32 sjtuautorun] ('click:', 1759332572.3281517, 481, 452)
[DEBUG 23:29:40 sjtuautorun] (121.43164206871451, 31.0268790467842)
[DEBUG 23:29:41 sjtuautorun] (121.43170387172052, 31.02690972488413)
[DEBUG 23:29:42 sjtuautorun] (121.43176845577862, 31.026930699518328)
[DEBUG 23:29:43 sjtuautorun] (121.43178818871112, 31.0269284668308)
[DEBUG 23:29:43 sjtuautorun] (121.43182505481529, 31.026934948223754)
[DEBUG 23:29:44 sjtuautorun] (121.43185589734694, 31.026949399412686)
[DEBUG 23:29:44 sjtuautorun] (121.43187722886968, 31.0269606107942)
[DEBUG 23:29:45 sjtuautorun] (121.43189898411167, 31.026968046728893)
[DEBUG 23:29:46 sjtuautorun] (121.43194595612904, 31.026973804343147)
[DEBUG 23:29:46 sjtuautorun] (121.43198090246479, 31.026984671842566)
[DEBUG 23:29:47 sjtuautorun] (121.43199969277364, 31.027000875536146)
[DEBUG 23:29:47 sjtuautorun] (121.43201182578014, 31.026991778981444)
[DEBUG 23:29:47 sjtuautorun] (121.43201450205008, 31.027012785277424)
[DEBUG 23:29:48 sjtuautorun] (121.43205579273219, 31.02701836673221)
[DEBUG 23:29:49 sjtuautorun] (121.43208934796216, 31.027027516996313)
[DEBUG 23:29:50 sjtuautorun] (121.43215744277, 31.027055707170554)
[DEBUG 23:29:51 sjtuautorun] (121.43219103049604, 31.027068892803573)
[DEBUG 23:29:53 sjtuautorun] (121.43228346999257, 31.027089523814883)
[DEBUG 23:29:54 sjtuautorun] (121.43234539473595, 31.027114391458912)
[DEBUG 23:29:55 sjtuautorun] (121.43239539588414, 31.02712332055835)
[DEBUG 23:29:57 sjtuautorun] (121.43245418012054, 31.02715026178771)
[DEBUG 23:29:57 sjtuautorun] (121.43250061726313, 31.027152105850575)
[DEBUG 23:29:58 sjtuautorun] (121.43251456833264, 31.027157604149227)
[DEBUG 23:29:58 sjtuautorun] (121.43254229512415, 31.02716806915511)
[DEBUG 23:29:58 sjtuautorun] (121.43253716929625, 31.027164706957077)
[DEBUG 23:29:59 sjtuautorun] (121.4325870768943, 31.027180134112836)
[DEBUG 23:30:00 sjtuautorun] (121.43264150234805, 31.027211383155873)
[DEBUG 23:30:01 sjtuautorun] (121.43267950840657, 31.0272090144649)
[DEBUG 23:30:02 sjtuautorun] (121.4326929992994, 31.0272149410811)
[DEBUG 23:30:03 sjtuautorun] (121.43276967784455, 31.02724743985782)
[DEBUG 23:30:04 sjtuautorun] (121.43280628862315, 31.02724948716916)
[DEBUG 23:30:05 sjtuautorun] (121.43287269611612, 31.02727339439382)
[DEBUG 23:30:06 sjtuautorun] (121.43291541102447, 31.027281560992304)
[DEBUG 23:30:07 sjtuautorun] (121.43293719392719, 31.02730066139925)
[DEBUG 23:30:08 sjtuautorun] (121.4330001970131, 31.0273236728317)
[DEBUG 23:30:08 sjtuautorun] (121.43301608776706, 31.027320356757187)
[DEBUG 23:30:09 sjtuautorun] (121.43305185757256, 31.02733342641168)
[DEBUG 23:30:09 sjtuautorun] (121.43306633456228, 31.027341337967563)
[DEBUG 23:30:11 sjtuautorun] (121.43312361363108, 31.027352360336412)
[DEBUG 23:30:12 sjtuautorun] (121.43317312100416, 31.027371929593702)
[DEBUG 23:30:12 sjtuautorun] (121.4331915501533, 31.027372199681743)
[DEBUG 23:30:12 sjtuautorun] (121.43320414899978, 31.027376623577837)
[DEBUG 23:30:13 sjtuautorun] (121.43323800418769, 31.027391074239574)
[DEBUG 23:30:14 sjtuautorun] (121.43328039230218, 31.027410332206472)
