[DEBUG 23:34:19 sjtuautorun] ('Emulator status', 'running')
[INFO 23:34:21 sjtuautorun] Android Connected!
[INFO 23:34:23 sjtuautorun] resolution:(1080, 1920)
[DEBUG 23:34:38 sjtuautorun] ('click:', 1759332878.5827725, 579, 55)
[DEBUG 23:34:39 sjtuautorun] ('Typing:去跑步',)
[DEBUG 23:34:41 sjtuautorun] ('click:', 1759332881.866253, 101, 186)
[INFO 23:34:42 sjtuautorun] Started successfully!
[DEBUG 23:35:59 sjtuautorun] (121.43452496149249, 31.027804684789107)
[DEBUG 23:36:00 sjtuautorun] (121.43459492585853, 31.0278310233766)
[DEBUG 23:36:02 sjtuautorun] (121.43464822855019, 31.027836783032633)
[DEBUG 23:36:03 sjtuautorun] (121.43469454155635, 31.027863997337008)
[DEBUG 23:36:05 sjtuautorun] (121.43478662159059, 31.02788591748642)
[DEBUG 23:36:06 sjtuautorun] (121.43484423490122, 31.02791295248227)
[DEBUG 23:36:07 sjtuautorun] (121.43489221522516, 31.027917277688818)
[DEBUG 23:36:08 sjtuautorun] (121.43493868911635, 31.02792699551103)
[DEBUG 23:36:09 sjtuautorun] (121.43502052519459, 31.02795148220945)
[DEBUG 23:36:10 sjtuautorun] (121.43502591933562, 31.027969905241353)
[DEBUG 23:36:11 sjtuautorun] (121.43509002497136, 31.02797866721238)
[DEBUG 23:36:12 sjtuautorun] (121.43514900359756, 31.028006096289438)
[DEBUG 23:36:13 sjtuautorun] (121.43521200390062, 31.028026350783634)
[DEBUG 23:36:14 sjtuautorun] (121.43526871004843, 31.028046869196714)
[DEBUG 23:36:15 sjtuautorun] (121.4353097813794, 31.02805825907812)
[DEBUG 23:36:17 sjtuautorun] (121.43537228979264, 31.028061531722926)
[DEBUG 23:36:18 sjtuautorun] (121.43542923392937, 31.028091488958506)
[DEBUG 23:36:20 sjtuautorun] (121.43553179154212, 31.028114797945857)
[DEBUG 23:36:21 sjtuautorun] (121.43557632075158, 31.028127300024085)
[DEBUG 23:36:21 sjtuautorun] (121.43560054057757, 31.028139792650148)
[DEBUG 23:36:22 sjtuautorun] (121.43563329267724, 31.028147518999855)
[DEBUG 23:36:23 sjtuautorun] (121.43569291534969, 31.0281714361687)
[DEBUG 23:36:25 sjtuautorun] (121.43576550538577, 31.028195283205374)
[DEBUG 23:36:26 sjtuautorun] (121.43581262512556, 31.02820513321049)
[DEBUG 23:36:27 sjtuautorun] (121.43584857345367, 31.02822187725288)
[DEBUG 23:36:27 sjtuautorun] (121.43585920050965, 31.028224372839563)
[DEBUG 23:36:28 sjtuautorun] (121.43591151398488, 31.02824716287615)
[DEBUG 23:36:30 sjtuautorun] (121.43599453538285, 31.02826308422514)
[DEBUG 23:36:30 sjtuautorun] (121.43602901682142, 31.028279696224054)
[DEBUG 23:36:31 sjtuautorun] (121.4360734997678, 31.028298730910958)
[DEBUG 23:36:32 sjtuautorun] (121.43612034798063, 31.02831440743997)
[DEBUG 23:36:33 sjtuautorun] (121.43616341916827, 31.028319195874293)
[DEBUG 23:36:34 sjtuautorun] (121.43619711431067, 31.028339838705477)
[DEBUG 23:36:34 sjtuautorun] (121.4362198378366, 31.028350103503676)
[DEBUG 23:36:35 sjtuautorun] (121.43626129063867, 31.02834741655601)
[DEBUG 23:36:36 sjtuautorun] (121.4363202681669, 31.02836591275405)
[DEBUG 23:36:37 sjtuautorun] (121.43634737612987, 31.028384527749825)
[DEBUG 23:36:37 sjtuautorun] (121.43636650277527, 31.028398748708923)
[DEBUG 23:36:39 sjtuautorun] (121.43643891099869, 31.028421313498814)
