[DEBUG 23:08:06 sjtuautorun] ('Emulator status', 'running')
[INFO 23:08:09 sjtuautorun] Android Connected!
[INFO 23:08:11 sjtuautorun] resolution:(1080, 1920)
[DEBUG 23:08:26 sjtuautorun] ('click:', 1759331306.091992, 579, 55)
[DEBUG 23:08:27 sjtuautorun] ('Typing:去跑步',)
[DEBUG 23:08:29 sjtuautorun] ('click:', 1759331309.414211, 101, 186)
[INFO 23:08:30 sjtuautorun] Started successfully!
[DEBUG 23:08:33 sjtuautorun] ('click:', 1759331313.7671897, 474, 398)
[DEBUG 23:08:35 sjtuautorun] ('click:', 1759331315.297377, 474, 398)
[DEBUG 23:08:39 sjtuautorun] ('click:', 1759331319.026976, 481, 452)
[DEBUG 23:08:47 sjtuautorun] (121.43165275329264, 31.026876736886848)
[DEBUG 23:08:48 sjtuautorun] (121.4317247332259, 31.026908939331534)
[DEBUG 23:08:48 sjtuautorun] (121.43172408832856, 31.02691126217304)
[DEBUG 23:08:50 sjtuautorun] (121.43180911599025, 31.026931903426917)
[DEBUG 23:08:51 sjtuautorun] (121.43185118962636, 31.02694370019783)
[DEBUG 23:08:52 sjtuautorun] (121.43188403734035, 31.026964272802495)
[DEBUG 23:08:52 sjtuautorun] (121.43190434154707, 31.026974927547087)
[DEBUG 23:08:52 sjtuautorun] (121.43192350575036, 31.026980436612362)
[DEBUG 23:08:53 sjtuautorun] (121.43192673548019, 31.026976586474042)
[DEBUG 23:08:54 sjtuautorun] (121.431986552158, 31.026986352413527)
[DEBUG 23:08:55 sjtuautorun] (121.432036603846, 31.02701234648933)
[DEBUG 23:08:55 sjtuautorun] (121.43204851351864, 31.027021867441)
[DEBUG 23:08:56 sjtuautorun] (121.43207349348104, 31.02703252328425)
[DEBUG 23:08:56 sjtuautorun] (121.43210813812603, 31.027034670737923)
[DEBUG 23:08:58 sjtuautorun] (121.43216915996338, 31.02705877062167)
[DEBUG 23:08:58 sjtuautorun] (121.43219350951561, 31.027056460967703)
[DEBUG 23:09:00 sjtuautorun] (121.43225679903261, 31.027076778371324)
[DEBUG 23:09:00 sjtuautorun] (121.43228248062037, 31.027094274156692)
[DEBUG 23:09:01 sjtuautorun] (121.43232862817638, 31.027093844452004)
[DEBUG 23:09:02 sjtuautorun] (121.43239475301311, 31.027116405832718)
[DEBUG 23:09:03 sjtuautorun] (121.43242966711958, 31.027125469723938)
[DEBUG 23:09:04 sjtuautorun] (121.43245987729145, 31.02713813449456)
[DEBUG 23:09:05 sjtuautorun] (121.43253809643554, 31.02717613417228)
[DEBUG 23:09:06 sjtuautorun] (121.43255792861483, 31.027172437222028)
[DEBUG 23:09:07 sjtuautorun] (121.43260248350747, 31.027188370649625)
[DEBUG 23:09:08 sjtuautorun] (121.43264119079682, 31.02720530655488)
[DEBUG 23:09:10 sjtuautorun] (121.43273290279062, 31.027233112916168)
[DEBUG 23:09:11 sjtuautorun] (121.43278350726581, 31.02723971875691)
[DEBUG 23:09:11 sjtuautorun] (121.43280397971465, 31.027260932103097)
[DEBUG 23:09:13 sjtuautorun] (121.43288267767316, 31.027268276972766)
[DEBUG 23:09:14 sjtuautorun] (121.43291864593026, 31.02730104416472)
[DEBUG 23:09:15 sjtuautorun] (121.43300384484795, 31.02730761159107)
[DEBUG 23:09:17 sjtuautorun] (121.43305388527325, 31.027336357782435)
[DEBUG 23:09:18 sjtuautorun] (121.43312797588966, 31.027358837759206)
[DEBUG 23:09:18 sjtuautorun] (121.4331390194741, 31.027361349632695)
[DEBUG 23:09:19 sjtuautorun] (121.43316336824829, 31.02737911143735)
[DEBUG 23:09:20 sjtuautorun] (121.43322037735662, 31.027394697058966)
[DEBUG 23:09:21 sjtuautorun] (121.43324588891248, 31.027401682067655)
[DEBUG 23:09:22 sjtuautorun] (121.43331938922037, 31.027406099396554)
[DEBUG 23:09:22 sjtuautorun] (121.43333105267477, 31.027414655749105)
[DEBUG 23:09:23 sjtuautorun] (121.43336697657874, 31.027439672992653)
[DEBUG 23:09:24 sjtuautorun] (121.4334110510339, 31.027454790786447)
[DEBUG 23:09:25 sjtuautorun] (121.43348027418948, 31.02746798986199)
[DEBUG 23:09:27 sjtuautorun] (121.43352633003485, 31.02748868917064)
[DEBUG 23:09:27 sjtuautorun] (121.43356238544794, 31.027491415156735)
[DEBUG 23:09:29 sjtuautorun] (121.43364874234153, 31.027514825984678)
[DEBUG 23:09:30 sjtuautorun] (121.43370653703343, 31.02753639139376)
[DEBUG 23:09:30 sjtuautorun] (121.43371196547758, 31.0275468591249)
[DEBUG 23:09:31 sjtuautorun] (121.4337193927877, 31.02755594250316)
[DEBUG 23:09:32 sjtuautorun] (121.43376478112224, 31.02757123939538)
[DEBUG 23:09:33 sjtuautorun] (121.43383701062754, 31.027578808233528)
[DEBUG 23:09:34 sjtuautorun] (121.433905494038, 31.027594800333066)
[DEBUG 23:09:36 sjtuautorun] (121.43395713652225, 31.027627120861965)
[DEBUG 23:09:37 sjtuautorun] (121.43401090289129, 31.027638027823613)
[DEBUG 23:09:37 sjtuautorun] (121.43404003280658, 31.027642954294762)
[DEBUG 23:09:38 sjtuautorun] (121.43408372913258, 31.027657148109004)
[DEBUG 23:09:40 sjtuautorun] (121.43415429125275, 31.027686236989354)
[DEBUG 23:09:40 sjtuautorun] (121.43418518818558, 31.027683552789973)
[DEBUG 23:09:41 sjtuautorun] (121.43422956825812, 31.027704649125237)
[DEBUG 23:09:43 sjtuautorun] (121.4342879184201, 31.027735948490346)
[DEBUG 23:09:44 sjtuautorun] (121.43436496120064, 31.027753575535105)
[DEBUG 23:09:45 sjtuautorun] (121.4343848515011, 31.02775204302807)
[DEBUG 23:09:46 sjtuautorun] (121.4344490375962, 31.027774992178667)
[DEBUG 23:09:46 sjtuautorun] (121.43447448225314, 31.02779191014298)
[DEBUG 23:09:47 sjtuautorun] (121.4345143083864, 31.027804983121314)
[DEBUG 23:09:48 sjtuautorun] (121.43456561329961, 31.027814105612535)
[DEBUG 23:09:49 sjtuautorun] (121.4346059856567, 31.0278291507422)
