[DEBUG 23:18:29 sjtuautorun] ('Emulator status', 'running')
[INFO 23:18:32 sjtuautorun] Android Connected!
[INFO 23:18:35 sjtuautorun] resolution:(1080, 1920)
[DEBUG 23:18:49 sjtuautorun] ('click:', 1759331929.1520703, 579, 55)
[DEBUG 23:18:50 sjtuautorun] ('Typing:去跑步',)
[DEBUG 23:18:52 sjtuautorun] ('click:', 1759331932.427421, 101, 186)
[INFO 23:18:53 sjtuautorun] Started successfully!
[DEBUG 23:18:56 sjtuautorun] ('click:', 1759331936.2315118, 474, 398)
[DEBUG 23:18:57 sjtuautorun] ('click:', 1759331937.741122, 474, 398)
[DEBUG 23:19:01 sjtuautorun] ('click:', 1759331941.8413258, 481, 452)
[DEBUG 23:19:08 sjtuautorun] (121.43159153346586, 31.02687730818554)
[DEBUG 23:19:10 sjtuautorun] (121.4316725466972, 31.026899156184417)
[DEBUG 23:19:11 sjtuautorun] (121.43171201751859, 31.026914035876693)
[DEBUG 23:19:12 sjtuautorun] (121.43178013163741, 31.02692422079572)
[DEBUG 23:19:13 sjtuautorun] (121.4318245835062, 31.026939131881182)
[DEBUG 23:19:14 sjtuautorun] (121.43188470026674, 31.02695271727294)
[DEBUG 23:19:16 sjtuautorun] (121.43194754607929, 31.02698330632473)
[DEBUG 23:19:16 sjtuautorun] (121.43197373445595, 31.02699821381449)
[DEBUG 23:19:17 sjtuautorun] (121.43200697198515, 31.02699733373051)
[DEBUG 23:19:18 sjtuautorun] (121.43205053211145, 31.027023106784686)
[DEBUG 23:19:18 sjtuautorun] (121.43206942989191, 31.02701136281082)
[DEBUG 23:19:19 sjtuautorun] (121.43211085695096, 31.027037374105593)
[DEBUG 23:19:20 sjtuautorun] (121.43213382320532, 31.027048758064947)
[DEBUG 23:19:21 sjtuautorun] (121.43217003025133, 31.027052207918956)
[DEBUG 23:19:21 sjtuautorun] (121.43220594686233, 31.027066489058264)
[DEBUG 23:19:22 sjtuautorun] (121.43225675723735, 31.027076808221796)
[DEBUG 23:19:23 sjtuautorun] (121.43229852067819, 31.02709244311298)
[DEBUG 23:19:24 sjtuautorun] (121.43235325050814, 31.02710453462046)
[DEBUG 23:19:26 sjtuautorun] (121.4324362817606, 31.027137636289652)
[DEBUG 23:19:27 sjtuautorun] (121.43248086812049, 31.027145004836253)
[DEBUG 23:19:28 sjtuautorun] (121.4325313717161, 31.027166096147017)
[DEBUG 23:19:29 sjtuautorun] (121.43256768123076, 31.027177821908825)
[DEBUG 23:19:30 sjtuautorun] (121.43259535700182, 31.02719480272919)
[DEBUG 23:19:30 sjtuautorun] (121.43264696104343, 31.027203373827223)
[DEBUG 23:19:31 sjtuautorun] (121.43267620513839, 31.027220450684172)
[DEBUG 23:19:32 sjtuautorun] (121.43270555038883, 31.027227593106325)
[DEBUG 23:19:32 sjtuautorun] (121.4327165531267, 31.027232251943076)
[DEBUG 23:19:33 sjtuautorun] (121.43274991048777, 31.027237690445492)
[DEBUG 23:19:34 sjtuautorun] (121.43281496005697, 31.02725963110927)
[DEBUG 23:19:35 sjtuautorun] (121.43283733685281, 31.0272583199579)
[DEBUG 23:19:35 sjtuautorun] (121.43284938140064, 31.027268130782694)
[DEBUG 23:19:35 sjtuautorun] (121.43288297527153, 31.027268307647738)
[DEBUG 23:19:37 sjtuautorun] (121.43294991613321, 31.02730199122099)
[DEBUG 23:19:37 sjtuautorun] (121.43297456404373, 31.027310555557843)
[DEBUG 23:19:39 sjtuautorun] (121.43304023863314, 31.02732602759739)
[DEBUG 23:19:39 sjtuautorun] (121.43306817099585, 31.027339907796655)
[DEBUG 23:19:40 sjtuautorun] (121.43308276847179, 31.027332997308257)
[DEBUG 23:19:41 sjtuautorun] (121.43311931327761, 31.02735992464751)
[DEBUG 23:19:41 sjtuautorun] (121.43314991653052, 31.027370652223105)
[DEBUG 23:19:42 sjtuautorun] (121.43319607478807, 31.027387588404125)
[DEBUG 23:19:43 sjtuautorun] (121.43322767607516, 31.027388448853845)
[DEBUG 23:19:44 sjtuautorun] (121.4333062491348, 31.027415228597267)
[DEBUG 23:19:45 sjtuautorun] (121.43335737912433, 31.02742941465499)
[DEBUG 23:19:46 sjtuautorun] (121.43339911280232, 31.027451598899525)
[DEBUG 23:19:47 sjtuautorun] (121.43342363550596, 31.027443728486066)
[DEBUG 23:19:48 sjtuautorun] (121.43347613157889, 31.027466371532473)
[DEBUG 23:19:49 sjtuautorun] (121.43351812999042, 31.027480832953717)
[DEBUG 23:19:51 sjtuautorun] (121.43359593531628, 31.027503001540122)
[DEBUG 23:19:52 sjtuautorun] (121.4336506417666, 31.027521131363283)
[DEBUG 23:19:53 sjtuautorun] (121.43368198431786, 31.027535311271592)
[DEBUG 23:19:53 sjtuautorun] (121.43370796423116, 31.027536324933724)
[DEBUG 23:19:53 sjtuautorun] (121.4337164046563, 31.027539158772644)
[DEBUG 23:19:54 sjtuautorun] (121.43374196791817, 31.02755636089908)
[DEBUG 23:19:55 sjtuautorun] (121.43378372371154, 31.027559780259903)
[DEBUG 23:19:55 sjtuautorun] (121.43381954454927, 31.027580767340503)
[DEBUG 23:19:57 sjtuautorun] (121.4338866086336, 31.02760223336769)
[DEBUG 23:19:57 sjtuautorun] (121.43390732188672, 31.02760907093524)
[DEBUG 23:19:58 sjtuautorun] (121.43394632912022, 31.02761740329114)
[DEBUG 23:19:59 sjtuautorun] (121.43400204383013, 31.027637028978187)
[DEBUG 23:20:00 sjtuautorun] (121.43403465403739, 31.027643242101075)
[DEBUG 23:20:01 sjtuautorun] (121.43407680570132, 31.027655598496167)
[DEBUG 23:20:02 sjtuautorun] (121.43412033216134, 31.027677735723724)
[DEBUG 23:20:02 sjtuautorun] (121.43413411296474, 31.02767345695107)
[DEBUG 23:20:04 sjtuautorun] (121.43419394042574, 31.027700795471365)
[DEBUG 23:20:05 sjtuautorun] (121.43424316789036, 31.02770671169686)
[DEBUG 23:20:06 sjtuautorun] (121.43428810395503, 31.02771853584735)
[DEBUG 23:20:07 sjtuautorun] (121.43436540402712, 31.02774549410991)
[DEBUG 23:20:08 sjtuautorun] (121.43438983406631, 31.027757341189275)
[DEBUG 23:20:09 sjtuautorun] (121.43445009210856, 31.027770877488134)
[DEBUG 23:20:10 sjtuautorun] (121.43448504195268, 31.027795317037363)
[DEBUG 23:20:11 sjtuautorun] (121.43453582375837, 31.027798276479622)
[DEBUG 23:20:11 sjtuautorun] (121.43453702363428, 31.02780685119346)
[DEBUG 23:20:13 sjtuautorun] (121.43461569931053, 31.027834695920472)
[DEBUG 23:20:14 sjtuautorun] (121.4346850321743, 31.027846053704476)
[DEBUG 23:20:14 sjtuautorun] (121.4346918441929, 31.0278486562551)
[DEBUG 23:20:15 sjtuautorun] (121.43475027306619, 31.027877055187155)
[DEBUG 23:20:16 sjtuautorun] (121.43477201624255, 31.02787937619359)
