[DEBUG 23:23:51 sjtuautorun] ('Emulator status', 'running')
[INFO 23:23:53 sjtuautorun] Android Connected!
[INFO 23:23:55 sjtuautorun] resolution:(1080, 1920)
[DEBUG 23:24:09 sjtuautorun] ('click:', 1759332249.0401006, 579, 55)
[DEBUG 23:24:10 sjtuautorun] ('Typing:去跑步',)
[DEBUG 23:24:12 sjtuautorun] ('click:', 1759332252.3567464, 101, 186)
[INFO 23:24:13 sjtuautorun] Started successfully!
[DEBUG 23:24:16 sjtuautorun] ('click:', 1759332256.0828142, 474, 398)
[DEBUG 23:24:17 sjtuautorun] ('click:', 1759332257.607381, 474, 398)
[DEBUG 23:24:21 sjtuautorun] ('click:', 1759332261.6631598, 481, 452)
[DEBUG 23:24:28 sjtuautorun] (121.4315951162302, 31.026865493615407)
[DEBUG 23:24:29 sjtuautorun] (121.43164241766709, 31.026888328366194)
[DEBUG 23:24:30 sjtuautorun] (121.43169448030176, 31.026895915395688)
[DEBUG 23:24:31 sjtuautorun] (121.43172270257546, 31.026902448411604)
[DEBUG 23:24:32 sjtuautorun] (121.43177192911661, 31.026923041655806)
[DEBUG 23:24:33 sjtuautorun] (121.43183002172609, 31.026941586945846)
[DEBUG 23:24:34 sjtuautorun] (121.43186173769251, 31.026962373467875)
[DEBUG 23:24:34 sjtuautorun] (121.43188390744841, 31.026970759618468)
[DEBUG 23:24:35 sjtuautorun] (121.4319229471648, 31.02696913331436)
[DEBUG 23:24:36 sjtuautorun] (121.43196840673143, 31.02699304559456)
[DEBUG 23:24:37 sjtuautorun] (121.43202887881579, 31.027018072283873)
[DEBUG 23:24:38 sjtuautorun] (121.4320671474077, 31.027019426285694)
[DEBUG 23:24:39 sjtuautorun] (121.43210351357682, 31.02702353514812)
[DEBUG 23:24:40 sjtuautorun] (121.43213541764409, 31.02704959890525)
[DEBUG 23:24:40 sjtuautorun] (121.43217161111151, 31.0270640354553)
[DEBUG 23:24:42 sjtuautorun] (121.43225296127527, 31.027078005457557)
[DEBUG 23:24:43 sjtuautorun] (121.43227869079209, 31.027085112628598)
[DEBUG 23:24:43 sjtuautorun] (121.4322973781199, 31.027093003101704)
[DEBUG 23:24:44 sjtuautorun] (121.43233649793662, 31.027107410680568)
[DEBUG 23:24:44 sjtuautorun] (121.4323717850057, 31.027121048138504)
[DEBUG 23:24:46 sjtuautorun] (121.43242761047725, 31.027137746426337)
[DEBUG 23:24:46 sjtuautorun] (121.43245408791883, 31.027153124224075)
[DEBUG 23:24:48 sjtuautorun] (121.43253605133278, 31.027163653494213)
[DEBUG 23:24:49 sjtuautorun] (121.43259527628015, 31.02718271380128)
[DEBUG 23:24:49 sjtuautorun] (121.4325950242196, 31.027186321041317)
[DEBUG 23:24:50 sjtuautorun] (121.4326297383053, 31.027209080742107)
[DEBUG 23:24:51 sjtuautorun] (121.43267455456127, 31.027215121384373)
[DEBUG 23:24:52 sjtuautorun] (121.43273828970585, 31.02722575120322)
[DEBUG 23:24:53 sjtuautorun] (121.43276250749446, 31.027244758311284)
[DEBUG 23:24:54 sjtuautorun] (121.43280229741055, 31.027257570008796)
[DEBUG 23:24:55 sjtuautorun] (121.43284802615112, 31.027261709681774)
[DEBUG 23:24:56 sjtuautorun] (121.43290005571842, 31.027285580556327)
[DEBUG 23:24:56 sjtuautorun] (121.43291476763119, 31.027289624446347)
[DEBUG 23:24:57 sjtuautorun] (121.43293028163299, 31.027292038663116)
[DEBUG 23:24:57 sjtuautorun] (121.43297083306408, 31.027302227202558)
[DEBUG 23:24:58 sjtuautorun] (121.43301984773106, 31.027322679005465)
[DEBUG 23:24:58 sjtuautorun] (121.43302174015672, 31.027329002705997)
[DEBUG 23:24:59 sjtuautorun] (121.43307779428055, 31.027346605401252)
[DEBUG 23:25:01 sjtuautorun] (121.43313095172913, 31.027354447408385)
[DEBUG 23:25:01 sjtuautorun] (121.43314294130576, 31.02735646666757)
[DEBUG 23:25:01 sjtuautorun] (121.43317212285645, 31.02736802428839)
[DEBUG 23:25:02 sjtuautorun] (121.43317939618703, 31.02738036679414)
[DEBUG 23:25:02 sjtuautorun] (121.43320927531569, 31.02739231313998)
[DEBUG 23:25:03 sjtuautorun] (121.43326648610064, 31.027397741767068)
[DEBUG 23:25:04 sjtuautorun] (121.43328697939586, 31.02741189304299)
[DEBUG 23:25:05 sjtuautorun] (121.4333135337562, 31.027413797381488)
[DEBUG 23:25:05 sjtuautorun] (121.43334629476199, 31.02743697450162)
[DEBUG 23:25:06 sjtuautorun] (121.43336530153987, 31.02743800936942)
[DEBUG 23:25:06 sjtuautorun] (121.43337921725048, 31.0274367843167)
[DEBUG 23:25:07 sjtuautorun] (121.43342418632086, 31.027447003751494)
[DEBUG 23:25:08 sjtuautorun] (121.43348274376388, 31.027472804322304)
[DEBUG 23:25:10 sjtuautorun] (121.43354074286344, 31.02748344724591)
[DEBUG 23:25:11 sjtuautorun] (121.43360608609665, 31.027516636553226)
[DEBUG 23:25:11 sjtuautorun] (121.43361322711908, 31.027501551950504)
[DEBUG 23:25:12 sjtuautorun] (121.43363836889503, 31.027523449545242)
[DEBUG 23:25:12 sjtuautorun] (121.4336643775185, 31.027516689129495)
[DEBUG 23:25:13 sjtuautorun] (121.43370164802316, 31.02753670401385)
[DEBUG 23:25:15 sjtuautorun] (121.43376496190395, 31.02756104161171)
[DEBUG 23:25:15 sjtuautorun] (121.43381944077238, 31.027577456932494)
[DEBUG 23:25:16 sjtuautorun] (121.43383724041153, 31.02758020310176)
[DEBUG 23:25:17 sjtuautorun] (121.4338833268306, 31.02759061573881)
[DEBUG 23:25:18 sjtuautorun] (121.43394177056663, 31.027612880752354)
[DEBUG 23:25:18 sjtuautorun] (121.4339534774412, 31.027613982276854)
[DEBUG 23:25:19 sjtuautorun] (121.43399647832993, 31.02762184229831)
[DEBUG 23:25:20 sjtuautorun] (121.43403175688279, 31.027639849297856)
[DEBUG 23:25:20 sjtuautorun] (121.43404148714531, 31.027644398883705)
[DEBUG 23:25:21 sjtuautorun] (121.43407307369534, 31.0276589536683)
[DEBUG 23:25:22 sjtuautorun] (121.43411066268955, 31.027674031327173)
[DEBUG 23:25:23 sjtuautorun] (121.43415118446039, 31.027679600170963)
[DEBUG 23:25:24 sjtuautorun] (121.43423671961315, 31.027713518568483)
