[DEBUG 22:25:08 sjtuautorun] ('Emulator status', '')
[DEBUG 22:25:09 sjtuautorun] ('Emulator status', '')
[DEBUG 22:25:10 sjtuautorun] ('Emulator status', '')
[DEBUG 22:25:11 sjtuautorun] ('Emulator status', '')
[DEBUG 22:25:12 sjtuautorun] ('Emulator status', '')
[DEBUG 22:25:13 sjtuautorun] ('Emulator status', '')
[DEBUG 22:25:14 sjtuautorun] ('Emulator status', '')
[DEBUG 22:25:15 sjtuautorun] ('Emulator status', '')
[DEBUG 22:25:16 sjtuautorun] ('Emulator status', '')
[DEBUG 22:25:17 sjtuautorun] ('Emulator status', '')
[DEBUG 22:25:18 sjtuautorun] ('Emulator status', '')
[DEBUG 22:25:19 sjtuautorun] ('Emulator status', '')
[DEBUG 22:25:20 sjtuautorun] ('Emulator status', '')
[DEBUG 22:25:21 sjtuautorun] ('Emulator status', '')
[DEBUG 22:25:22 sjtuautorun] ('Emulator status', '')
[DEBUG 22:25:23 sjtuautorun] ('Emulator status', '')
[DEBUG 22:25:24 sjtuautorun] ('Emulator status', '')
[DEBUG 22:25:25 sjtuautorun] ('Emulator status', '')
[DEBUG 22:25:26 sjtuautorun] ('Emulator status', '')
[DEBUG 22:25:27 sjtuautorun] ('Emulator status', '')
[DEBUG 22:25:28 sjtuautorun] ('Emulator status', '')
[DEBUG 22:25:30 sjtuautorun] ('Emulator status', '')
[DEBUG 22:25:31 sjtuautorun] ('Emulator status', '')
[DEBUG 22:25:32 sjtuautorun] ('Emulator status', '')
[DEBUG 22:25:33 sjtuautorun] ('Emulator status', '')
[DEBUG 22:25:34 sjtuautorun] ('Emulator status', '')
[DEBUG 22:25:35 sjtuautorun] ('Emulator status', '')
[DEBUG 22:25:36 sjtuautorun] ('Emulator status', '')
[DEBUG 22:25:37 sjtuautorun] ('Emulator status', '')
[DEBUG 22:25:38 sjtuautorun] ('Emulator status', '')
[DEBUG 22:25:39 sjtuautorun] ('Emulator status', '')
[DEBUG 22:25:40 sjtuautorun] ('Emulator status', '')
[DEBUG 22:25:41 sjtuautorun] ('Emulator status', '')
[DEBUG 22:25:42 sjtuautorun] ('Emulator status', '')
[DEBUG 22:25:43 sjtuautorun] ('Emulator status', '')
