[DEBUG 22:20:27 sjtuautorun] ('Emulator status', '')
[DEBUG 22:20:28 sjtuautorun] ('Emulator status', '')
[DEBUG 22:20:29 sjtuautorun] ('Emulator status', '')
[DEBUG 22:20:30 sjtuautorun] ('Emulator status', '')
[DEBUG 22:20:31 sjtuautorun] ('Emulator status', '')
[DEBUG 22:20:32 sjtuautorun] ('Emulator status', '')
[DEBUG 22:20:33 sjtuautorun] ('Emulator status', '')
[DEBUG 22:20:34 sjtuautorun] ('Emulator status', '')
[DEBUG 22:20:35 sjtuautorun] ('Emulator status', '')
[DEBUG 22:20:36 sjtuautorun] ('Emulator status', '')
[DEBUG 22:20:37 sjtuautorun] ('Emulator status', '')
[DEBUG 22:20:38 sjtuautorun] ('Emulator status', '')
[DEBUG 22:20:39 sjtuautorun] ('Emulator status', '')
[DEBUG 22:20:40 sjtuautorun] ('Emulator status', '')
[DEBUG 22:20:41 sjtuautorun] ('Emulator status', '')
[DEBUG 22:20:42 sjtuautorun] ('Emulator status', '')
[DEBUG 22:20:43 sjtuautorun] ('Emulator status', '')
[DEBUG 22:20:44 sjtuautorun] ('Emulator status', '')
[DEBUG 22:20:45 sjtuautorun] ('Emulator status', '')
[DEBUG 22:20:46 sjtuautorun] ('Emulator status', '')
[DEBUG 22:20:47 sjtuautorun] ('Emulator status', '')
[DEBUG 22:20:48 sjtuautorun] ('Emulator status', '')
[DEBUG 22:20:50 sjtuautorun] ('Emulator status', '')
[DEBUG 22:20:51 sjtuautorun] ('Emulator status', '')
[DEBUG 22:20:52 sjtuautorun] ('Emulator status', '')
[DEBUG 22:20:53 sjtuautorun] ('Emulator status', '')
[DEBUG 22:20:54 sjtuautorun] ('Emulator status', '')
[DEBUG 22:20:55 sjtuautorun] ('Emulator status', '')
[DEBUG 22:20:56 sjtuautorun] ('Emulator status', '')
[DEBUG 22:20:57 sjtuautorun] ('Emulator status', '')
[DEBUG 22:20:58 sjtuautorun] ('Emulator status', '')
[DEBUG 22:20:59 sjtuautorun] ('Emulator status', '')
[DEBUG 22:21:00 sjtuautorun] ('Emulator status', '')
[DEBUG 22:21:01 sjtuautorun] ('Emulator status', '')
[DEBUG 22:21:02 sjtuautorun] ('Emulator status', '')
[DEBUG 22:21:03 sjtuautorun] ('Emulator status', '')
[DEBUG 22:21:04 sjtuautorun] ('Emulator status', '')
[DEBUG 22:21:05 sjtuautorun] ('Emulator status', '')
[DEBUG 22:21:06 sjtuautorun] ('Emulator status', '')
[DEBUG 22:21:07 sjtuautorun] ('Emulator status', '')
[DEBUG 22:21:08 sjtuautorun] ('Emulator status', '')
[DEBUG 22:21:09 sjtuautorun] ('Emulator status', '')
[DEBUG 22:21:10 sjtuautorun] ('Emulator status', '')
[DEBUG 22:21:11 sjtuautorun] ('Emulator status', '')
[DEBUG 22:21:13 sjtuautorun] ('Emulator status', '')
[DEBUG 22:21:14 sjtuautorun] ('Emulator status', '')
[DEBUG 22:21:15 sjtuautorun] ('Emulator status', '')
[DEBUG 22:21:16 sjtuautorun] ('Emulator status', '')
[DEBUG 22:21:17 sjtuautorun] ('Emulator status', '')
[DEBUG 22:21:18 sjtuautorun] ('Emulator status', '')
[DEBUG 22:21:19 sjtuautorun] ('Emulator status', '')
[DEBUG 22:21:20 sjtuautorun] ('Emulator status', '')
[DEBUG 22:21:21 sjtuautorun] ('Emulator status', '')
[DEBUG 22:21:22 sjtuautorun] ('Emulator status', '')
[DEBUG 22:21:23 sjtuautorun] ('Emulator status', '')
[DEBUG 22:21:24 sjtuautorun] ('Emulator status', '')
[DEBUG 22:21:25 sjtuautorun] ('Emulator status', '')
[DEBUG 22:21:26 sjtuautorun] ('Emulator status', '')
[DEBUG 22:21:27 sjtuautorun] ('Emulator status', '')
[DEBUG 22:21:28 sjtuautorun] ('Emulator status', '')
[DEBUG 22:21:29 sjtuautorun] ('Emulator status', '')
[DEBUG 22:21:30 sjtuautorun] ('Emulator status', '')
[DEBUG 22:21:31 sjtuautorun] ('Emulator status', '')
[DEBUG 22:21:32 sjtuautorun] ('Emulator status', '')
[DEBUG 22:21:33 sjtuautorun] ('Emulator status', '')
[DEBUG 22:21:34 sjtuautorun] ('Emulator status', '')
[DEBUG 22:21:35 sjtuautorun] ('Emulator status', '')
[DEBUG 22:21:37 sjtuautorun] ('Emulator status', '')
[DEBUG 22:21:38 sjtuautorun] ('Emulator status', '')
[DEBUG 22:21:39 sjtuautorun] ('Emulator status', '')
[DEBUG 22:21:40 sjtuautorun] ('Emulator status', '')
[DEBUG 22:21:41 sjtuautorun] ('Emulator status', '')
[DEBUG 22:21:42 sjtuautorun] ('Emulator status', '')
[DEBUG 22:21:43 sjtuautorun] ('Emulator status', '')
[DEBUG 22:21:44 sjtuautorun] ('Emulator status', '')
[DEBUG 22:21:45 sjtuautorun] ('Emulator status', '')
[DEBUG 22:21:46 sjtuautorun] ('Emulator status', '')
[DEBUG 22:21:47 sjtuautorun] ('Emulator status', '')
[DEBUG 22:21:48 sjtuautorun] ('Emulator status', '')
[DEBUG 22:21:49 sjtuautorun] ('Emulator status', '')
[DEBUG 22:21:50 sjtuautorun] ('Emulator status', '')
[DEBUG 22:21:51 sjtuautorun] ('Emulator status', '')
[DEBUG 22:21:52 sjtuautorun] ('Emulator status', '')
[DEBUG 22:21:53 sjtuautorun] ('Emulator status', '')
[DEBUG 22:21:54 sjtuautorun] ('Emulator status', '')
[DEBUG 22:21:55 sjtuautorun] ('Emulator status', '')
[DEBUG 22:21:56 sjtuautorun] ('Emulator status', '')
[DEBUG 22:21:57 sjtuautorun] ('Emulator status', '')
[DEBUG 22:21:58 sjtuautorun] ('Emulator status', '')
[DEBUG 22:21:59 sjtuautorun] ('Emulator status', '')
[DEBUG 22:22:00 sjtuautorun] ('Emulator status', '')
[DEBUG 22:22:01 sjtuautorun] ('Emulator status', '')
[DEBUG 22:22:03 sjtuautorun] ('Emulator status', '')
[DEBUG 22:22:04 sjtuautorun] ('Emulator status', '')
[DEBUG 22:22:05 sjtuautorun] ('Emulator status', '')
[DEBUG 22:22:06 sjtuautorun] ('Emulator status', '')
[DEBUG 22:22:07 sjtuautorun] ('Emulator status', '')
[DEBUG 22:22:08 sjtuautorun] ('Emulator status', '')
[DEBUG 22:22:09 sjtuautorun] ('Emulator status', '')
[DEBUG 22:22:10 sjtuautorun] ('Emulator status', '')
[DEBUG 22:22:11 sjtuautorun] ('Emulator status', '')
[DEBUG 22:22:12 sjtuautorun] ('Emulator status', '')
[DEBUG 22:22:13 sjtuautorun] ('Emulator status', '')
[DEBUG 22:22:14 sjtuautorun] ('Emulator status', '')
[DEBUG 22:22:15 sjtuautorun] ('Emulator status', '')
[DEBUG 22:22:16 sjtuautorun] ('Emulator status', '')
[DEBUG 22:22:17 sjtuautorun] ('Emulator status', '')
[DEBUG 22:22:18 sjtuautorun] ('Emulator status', '')
[DEBUG 22:22:19 sjtuautorun] ('Emulator status', '')
[DEBUG 22:22:20 sjtuautorun] ('Emulator status', '')
[DEBUG 22:22:21 sjtuautorun] ('Emulator status', '')
[DEBUG 22:22:22 sjtuautorun] ('Emulator status', '')
[DEBUG 22:22:23 sjtuautorun] ('Emulator status', '')
[DEBUG 22:22:24 sjtuautorun] ('Emulator status', '')
[DEBUG 22:22:25 sjtuautorun] ('Emulator status', '')
[DEBUG 22:22:27 sjtuautorun] ('Emulator status', '')
[DEBUG 22:22:28 sjtuautorun] ('Emulator status', '')
[ERROR 22:22:29 sjtuautorun] ===================ERROR===================
[ERROR 22:22:29 sjtuautorun] 模拟器启动超时！ 请检查模拟器路径!
[ERROR 22:22:29 sjtuautorun] ====================END====================
