[DEBUG 23:00:50 sjtuautorun] ('Emulator status', 'running')
[INFO 23:00:52 sjtuautorun] Android Connected!
[INFO 23:00:55 sjtuautorun] resolution:(1080, 1920)
[DEBUG 23:01:10 sjtuautorun] ('click:', 1759330870.0687828, 579, 55)
[DEBUG 23:01:11 sjtuautorun] ('Typing:去跑步',)
[DEBUG 23:01:13 sjtuautorun] ('click:', 1759330873.5675187, 101, 186)
[INFO 23:01:14 sjtuautorun] Started successfully!
[DEBUG 23:01:18 sjtuautorun] ('click:', 1759330878.1211724, 474, 398)
[DEBUG 23:01:19 sjtuautorun] ('click:', 1759330879.6225984, 474, 398)
[DEBUG 23:01:23 sjtuautorun] ('click:', 1759330883.7834587, 481, 452)
[DEBUG 23:01:31 sjtuautorun] (121.43165080742156, 31.02689010394656)
[DEBUG 23:01:32 sjtuautorun] (121.43170593845095, 31.026908796654222)
[DEBUG 23:01:33 sjtuautorun] (121.4317118752652, 31.026910085063044)
[DEBUG 23:01:34 sjtuautorun] (121.43176058698585, 31.026923024921235)
[DEBUG 23:01:36 sjtuautorun] (121.4318464055749, 31.026942542587495)
[DEBUG 23:01:37 sjtuautorun] (121.43190148055584, 31.026969859723152)
[DEBUG 23:01:38 sjtuautorun] (121.431957251449, 31.026981428114137)
[DEBUG 23:01:39 sjtuautorun] (121.43198749910489, 31.027001209927167)
[DEBUG 23:01:40 sjtuautorun] (121.432082424544, 31.0270319703361)
[DEBUG 23:01:41 sjtuautorun] (121.43208794284521, 31.027027246092825)
[DEBUG 23:01:42 sjtuautorun] (121.4321440980618, 31.027040714090557)
[DEBUG 23:01:42 sjtuautorun] (121.4321724515453, 31.02705006299142)
[DEBUG 23:01:44 sjtuautorun] (121.43224584427453, 31.027064727611894)
[DEBUG 23:01:44 sjtuautorun] (121.4322715566056, 31.02708856617513)
[DEBUG 23:01:45 sjtuautorun] (121.4322877749816, 31.0270835790601)
[DEBUG 23:01:45 sjtuautorun] (121.43231279708039, 31.027102735616857)
[DEBUG 23:01:46 sjtuautorun] (121.43236572556751, 31.02711680005659)
[DEBUG 23:01:47 sjtuautorun] (121.4324088037778, 31.027135106380122)
[DEBUG 23:01:49 sjtuautorun] (121.4324811620237, 31.02714847984927)
[DEBUG 23:01:49 sjtuautorun] (121.43250599678237, 31.02716059013214)
[DEBUG 23:01:50 sjtuautorun] (121.43256480663713, 31.02717594610641)
[DEBUG 23:01:52 sjtuautorun] (121.43263148281397, 31.027201476875188)
[DEBUG 23:01:53 sjtuautorun] (121.43267401873145, 31.027221113043097)
[DEBUG 23:01:54 sjtuautorun] (121.43270969697012, 31.02722711178395)
[DEBUG 23:01:54 sjtuautorun] (121.4327502805592, 31.027232594305453)
[DEBUG 23:01:56 sjtuautorun] (121.432810053991, 31.027254360510735)
[DEBUG 23:01:56 sjtuautorun] (121.43283405010311, 31.027268972708185)
[DEBUG 23:01:57 sjtuautorun] (121.43287247838254, 31.027280039859026)
[DEBUG 23:01:58 sjtuautorun] (121.43293092143108, 31.027300660637696)
[DEBUG 23:02:00 sjtuautorun] (121.43298531213814, 31.02731248490657)
[DEBUG 23:02:01 sjtuautorun] (121.43305145079329, 31.02733047522227)
[DEBUG 23:02:02 sjtuautorun] (121.43310080939176, 31.027338279757437)
[DEBUG 23:02:03 sjtuautorun] (121.43315472241656, 31.027359243019188)
[DEBUG 23:02:05 sjtuautorun] (121.43324408384468, 31.027388258452152)
[DEBUG 23:02:05 sjtuautorun] (121.43325277642693, 31.027387868742405)
[DEBUG 23:02:06 sjtuautorun] (121.43328106587926, 31.027413898329385)
[DEBUG 23:02:07 sjtuautorun] (121.43334516130835, 31.027423124181887)
[DEBUG 23:02:08 sjtuautorun] (121.43338334693098, 31.027430492429204)
[DEBUG 23:02:09 sjtuautorun] (121.43343205864882, 31.027456671842693)
[DEBUG 23:02:10 sjtuautorun] (121.4334684316518, 31.027469498329406)
[DEBUG 23:02:11 sjtuautorun] (121.43352667795328, 31.027480949976983)
[DEBUG 23:02:12 sjtuautorun] (121.43358731800178, 31.027501926826524)
[DEBUG 23:02:13 sjtuautorun] (121.43361200372135, 31.02751419328698)
[DEBUG 23:02:14 sjtuautorun] (121.43368914650492, 31.027540401040074)
[DEBUG 23:02:15 sjtuautorun] (121.43374652182278, 31.027551422691364)
[DEBUG 23:02:15 sjtuautorun] (121.4337448806907, 31.02755233501807)
[DEBUG 23:02:16 sjtuautorun] (121.43376491745654, 31.027559785683923)
[DEBUG 23:02:17 sjtuautorun] (121.43380411476262, 31.027579290526006)
[DEBUG 23:02:18 sjtuautorun] (121.43389615642926, 31.02759734788366)
[DEBUG 23:02:20 sjtuautorun] (121.43397842581827, 31.027629223639003)
[DEBUG 23:02:21 sjtuautorun] (121.4340086707724, 31.027640793272123)
[DEBUG 23:02:22 sjtuautorun] (121.43407269443057, 31.027654582306862)
[DEBUG 23:02:23 sjtuautorun] (121.43410369378087, 31.02766477009378)
[DEBUG 23:02:24 sjtuautorun] (121.43417006930004, 31.027695656600176)
[DEBUG 23:02:26 sjtuautorun] (121.43427740300973, 31.027730131991476)
[DEBUG 23:02:26 sjtuautorun] (121.43429073191453, 31.027723160795226)
[DEBUG 23:02:28 sjtuautorun] (121.43437936160632, 31.02775449075854)
[DEBUG 23:02:29 sjtuautorun] (121.4344112704499, 31.027775488961936)
[DEBUG 23:02:30 sjtuautorun] (121.43444107293541, 31.027785655096068)
[DEBUG 23:02:31 sjtuautorun] (121.43447757668027, 31.02779079623992)
[DEBUG 23:02:32 sjtuautorun] (121.43453950371891, 31.027804750507176)
[DEBUG 23:02:33 sjtuautorun] (121.43458808514511, 31.0278307181656)
[DEBUG 23:02:33 sjtuautorun] (121.43461680554373, 31.027823301575932)
[DEBUG 23:02:34 sjtuautorun] (121.43465469881127, 31.027847286318)
[DEBUG 23:02:35 sjtuautorun] (121.43468389018938, 31.02786206670477)
[DEBUG 23:02:35 sjtuautorun] (121.43471206762156, 31.027864702309916)
[DEBUG 23:02:36 sjtuautorun] (121.43473921415386, 31.027861072448875)
[DEBUG 23:02:37 sjtuautorun] (121.43479251088944, 31.027889160072892)
[DEBUG 23:02:39 sjtuautorun] (121.4348792506323, 31.027915790170344)
[DEBUG 23:02:39 sjtuautorun] (121.43490627317564, 31.027918743414336)
[DEBUG 23:02:40 sjtuautorun] (121.43494968905026, 31.027937778446056)
[DEBUG 23:02:40 sjtuautorun] (121.43496400878796, 31.02793047630611)
[DEBUG 23:02:41 sjtuautorun] (121.43498632199407, 31.027945774935276)
[DEBUG 23:02:41 sjtuautorun] (121.43499820233802, 31.027955621044885)
[DEBUG 23:02:42 sjtuautorun] (121.43500607340694, 31.02795693040665)
[DEBUG 23:02:43 sjtuautorun] (121.43506697478107, 31.027976589596715)
[DEBUG 23:02:43 sjtuautorun] (121.43509551264407, 31.027988627520873)
[DEBUG 23:02:44 sjtuautorun] (121.43515603585504, 31.028002996043384)
[DEBUG 23:02:45 sjtuautorun] (121.43519437636955, 31.028007298021414)
[DEBUG 23:02:46 sjtuautorun] (121.43524084584926, 31.028039831058106)
[DEBUG 23:02:47 sjtuautorun] (121.43528228144038, 31.02804527915299)
[DEBUG 23:02:49 sjtuautorun] (121.43535641767174, 31.02807150902994)
[DEBUG 23:02:49 sjtuautorun] (121.43538862380856, 31.028067127912536)
[DEBUG 23:02:50 sjtuautorun] (121.43542716054505, 31.028086767708356)
[DEBUG 23:02:51 sjtuautorun] (121.43546613045997, 31.02810562422628)
[DEBUG 23:02:51 sjtuautorun] (121.43549196313313, 31.028112248367712)
[DEBUG 23:02:52 sjtuautorun] (121.43552090880121, 31.028126568983872)
[DEBUG 23:02:53 sjtuautorun] (121.43555508122448, 31.02812307636076)
[DEBUG 23:02:54 sjtuautorun] (121.43561066303357, 31.028149630781687)
[DEBUG 23:02:56 sjtuautorun] (121.43568859206762, 31.028163846492404)
[DEBUG 23:02:56 sjtuautorun] (121.43571257157066, 31.028185126899665)
[DEBUG 23:02:57 sjtuautorun] (121.43575753709716, 31.02819955701354)
[DEBUG 23:02:58 sjtuautorun] (121.43578023201256, 31.028203559059776)
[DEBUG 23:02:58 sjtuautorun] (121.43580193095728, 31.02821268114519)
[DEBUG 23:02:59 sjtuautorun] (121.43582480275722, 31.028215566670493)
[DEBUG 23:03:00 sjtuautorun] (121.43590063019413, 31.028242422010944)
[DEBUG 23:03:00 sjtuautorun] (121.4359229643562, 31.028240798016895)
[DEBUG 23:03:01 sjtuautorun] (121.43596221411227, 31.02825530794659)
[DEBUG 23:03:02 sjtuautorun] (121.43600536817732, 31.028278066285704)
[DEBUG 23:03:03 sjtuautorun] (121.43603537112433, 31.028270447620045)
[DEBUG 23:03:03 sjtuautorun] (121.4360517785225, 31.028281280794495)
[DEBUG 23:03:03 sjtuautorun] (121.43606956654376, 31.028294302817077)
[DEBUG 23:03:04 sjtuautorun] (121.43608856905891, 31.02830521493093)
[DEBUG 23:03:05 sjtuautorun] (121.43615042346157, 31.028331055887506)
[DEBUG 23:03:06 sjtuautorun] (121.43619047256317, 31.028341486786147)
[DEBUG 23:03:07 sjtuautorun] (121.43621861597049, 31.028348952521377)
[DEBUG 23:03:08 sjtuautorun] (121.43628282601107, 31.02836140662881)
[DEBUG 23:03:08 sjtuautorun] (121.43630938529627, 31.028375653886002)
[DEBUG 23:03:10 sjtuautorun] (121.43637781975647, 31.02839258172899)
[DEBUG 23:03:11 sjtuautorun] (121.436445056697, 31.028415357401407)
[DEBUG 23:03:12 sjtuautorun] (121.43646956469198, 31.028428895302284)
[DEBUG 23:03:14 sjtuautorun] (121.43656056188333, 31.02844720979312)
[DEBUG 23:03:15 sjtuautorun] (121.43660507653038, 31.02846257008887)
[DEBUG 23:03:16 sjtuautorun] (121.43666725517417, 31.028484966767884)
[DEBUG 23:03:17 sjtuautorun] (121.43673997431678, 31.028497343972138)
[DEBUG 23:03:18 sjtuautorun] (121.43679231798664, 31.028511413691525)
[DEBUG 23:03:20 sjtuautorun] (121.43683990089525, 31.0285446505575)
[DEBUG 23:03:20 sjtuautorun] (121.43687061371608, 31.028551132380446)
[DEBUG 23:03:22 sjtuautorun] (121.4369606607746, 31.02858184463547)
[DEBUG 23:03:22 sjtuautorun] (121.4369864957158, 31.02858913164754)
[DEBUG 23:03:24 sjtuautorun] (121.43704555896069, 31.028607453563506)
[DEBUG 23:03:24 sjtuautorun] (121.43704220851174, 31.028607513468284)
[DEBUG 23:03:25 sjtuautorun] (121.43711662548804, 31.028622785468823)
[DEBUG 23:03:26 sjtuautorun] (121.43717070366833, 31.02863764670051)
[DEBUG 23:03:28 sjtuautorun] (121.43723293288048, 31.028671002310947)
[DEBUG 23:03:29 sjtuautorun] (121.43727472434986, 31.028677405905103)
[DEBUG 23:03:30 sjtuautorun] (121.43733886213681, 31.02868989465881)
[DEBUG 23:03:31 sjtuautorun] (121.43740188471753, 31.028723840079085)
[DEBUG 23:03:33 sjtuautorun] (121.43745612569306, 31.028740144214314)
[DEBUG 23:03:34 sjtuautorun] (121.43751108858605, 31.028745001106703)
[DEBUG 23:03:35 sjtuautorun] (121.43758286445193, 31.028767417720786)
[DEBUG 23:03:36 sjtuautorun] (121.43763577100805, 31.02879165835468)
[DEBUG 23:03:37 sjtuautorun] (121.43764123161847, 31.028799196754683)
[DEBUG 23:03:37 sjtuautorun] (121.4376856865529, 31.028799559973763)
[DEBUG 23:03:38 sjtuautorun] (121.4377172005552, 31.028821057811328)
[DEBUG 23:03:39 sjtuautorun] (121.43773822297128, 31.028826154352434)
[DEBUG 23:03:39 sjtuautorun] (121.43778733458235, 31.028833083272705)
[DEBUG 23:03:40 sjtuautorun] (121.43780516659673, 31.028842918500818)
[DEBUG 23:03:40 sjtuautorun] (121.4378266215831, 31.02885370062207)
[DEBUG 23:03:42 sjtuautorun] (121.43788895176394, 31.028870768576244)
[DEBUG 23:03:43 sjtuautorun] (121.43797123447271, 31.028898207571295)
[DEBUG 23:03:44 sjtuautorun] (121.43800313128283, 31.028902215998244)
